time,open,high,low,close,EMA,EMA,EMA,EMA,Volume,Volume MA
2007-07-13,0.419,0.516,0.373,0.499,,0.567441632257249,0.592313854594318,0.65314367099866,,
2007-07-16,0.4,0.538,0.374,0.533,,0.5641614768041776,0.5899878210808153,0.6507645884046271,,
2007-07-17,0.364,0.714,0.364,0.608,,0.5683365742513988,0.5906941810384303,0.6499177648718623,,
2007-07-18,0.486,0.831,0.486,0.725,,0.5832569005131704,0.5959610758996683,0.6514045418050927,,
2007-07-19,0.512,0.582,0.486,0.534,,0.5785657671309636,0.5935312297859558,0.6490796993931106,,
2007-07-20,0.491,0.697,0.47,0.687,,0.5888928369280148,0.597196671755134,0.6498305964348312,,
2007-07-23,0.391,0.542,0.391,0.534,,0.5836649476967752,0.5947183709019915,0.6475369212579039,,
2007-07-24,0.533,0.795,0.505,0.793,,0.6036016193447014,0.6024941210626977,0.6504173782626979,,
2007-07-25,0.526,0.65,0.454,0.64,,0.6070681317880632,0.6039649398445527,0.6502110935446246,,
2007-07-26,0.788,0.903,0.787,0.842,,0.6294425954272953,0.6132996480859427,0.6540088936724539,,
2007-07-27,0.671,0.883,0.651,0.764,,0.6422575863389814,0.6192094658080626,0.6561869353819102,,
2007-07-30,0.686,0.779,0.655,0.714,,0.6490901971638403,0.6229267416587267,0.6573317485426644,,
2007-07-31,0.541,0.751,0.472,0.717,,0.6555577974339507,0.626615889044659,0.6585132980764731,,
2007-08-01,0.398,0.882,0.398,0.877,,0.6766475310116696,0.6364348737880058,0.6628397674214934,,
2007-08-02,0.746,0.806,0.647,0.781,,0.6865858613915107,0.6421040944237703,0.6651795740072064,,
2007-08-03,0.698,0.859,0.698,0.783,,0.6957681603066049,0.6476294240542106,0.6675126517496379,,
2007-08-06,0.746,0.927,0.746,0.844,,0.7098854783726426,0.6553302309540455,0.6710074507248927,,
2007-08-07,0.73,0.742,0.621,0.688,,0.7078011470990576,0.6566113983676124,0.6713439368491522,,
2007-08-08,0.519,0.632,0.507,0.609,,0.6983915140420045,0.6547442847061374,0.6701094034461986,,
2007-08-09,0.595,0.794,0.595,0.641,,0.6929256555618136,0.654205293149034,0.6695329796155808,,
2007-08-10,0.85,0.894,0.579,0.581,,0.6822660693178314,0.651334497339268,0.6677798513063613,,
2007-08-13,0.634,0.718,0.61,0.682,,0.6822407293827999,0.6525370660710613,0.6680614384092056,,
2007-08-14,0.552,1.073,0.527,1.073,,0.7194558980130095,0.6690258085780785,0.6760800237872412,,
2007-08-15,0.855,1.081,0.855,1.047,,0.7506505743927229,0.6838483258887421,0.6834249738112562,,
2007-08-16,1.024,1.222,1.009,1.015,,0.7758267101648445,0.6968346660499679,0.6899908159140036,,
2007-08-17,0.45,0.767,0.45,0.749,,0.7732717853872403,0.6988803654205574,0.6911593146087758,,
2007-08-20,0.584,0.637,0.503,0.617,,0.7583887582075031,0.6956693706981826,0.6896908133293941,,
2007-08-21,0.592,0.624,0.486,0.613,,0.7445422098067885,0.6924274345923715,0.6881721833624754,,
2007-08-22,0.571,0.65,0.488,0.618,,0.7324905707775706,0.6895087116671805,0.6867826351770798,,
2007-08-23,0.593,0.725,0.582,0.703,,0.7296819449892306,0.6900377817978793,0.6871037711141673,,
2007-08-24,0.65,0.74,0.633,0.686,,0.7255217597521609,0.6898794374136488,0.6870819142604214,,
2007-08-27,0.587,0.677,0.534,0.666,,0.7198530207281456,0.6889429888876233,0.6866644506117002,,
2007-08-28,0.709,0.868,0.639,0.868,,0.7339622568492746,0.6959648324606577,0.6902552535698844,,
2007-08-29,0.659,0.765,0.634,0.687,,0.7294896609588676,0.695613270403377,0.690190793103154,,
2007-08-30,0.757,0.767,0.561,0.653,,0.7222049313437373,0.6939421617601073,0.6894543417545766,,
2007-08-31,0.707,0.782,0.599,0.641,,0.7144711283586195,0.6918659985538286,0.6884948498386444,,
2007-09-04,0.626,0.68,0.569,0.615,,0.7049976875625604,0.6888516456693647,0.6870395062774831,,
2007-09-05,0.683,0.875,0.589,0.74,,0.7083312411280308,0.6908574634862524,0.6880882289254537,,
2007-09-06,0.545,0.65,0.5,0.626,,0.7004901705444089,0.688314033545615,0.6868587590457418,,
2007-09-07,0.756,0.781,0.633,0.765,,0.7066339638258937,0.6913213263477478,0.6884061103517667,,
2007-09-10,0.818,0.818,0.661,0.788,,0.7143831101281896,0.6951126468831302,0.6903782665824247,,
2007-09-11,0.628,0.829,0.548,0.829,,0.7252990044016953,0.7003631313190859,0.6931232514025747,,
2007-09-12,0.603,0.695,0.577,0.584,,0.7118419563634386,0.695799871267357,0.6909623949391573,,
2007-09-13,0.558,0.621,0.506,0.616,,0.7027141509954921,0.69267046455099,0.689477991078976,,
2007-09-14,0.748,0.748,0.602,0.642,,0.6969318509006833,0.6906833875097748,0.6885378328397883,,
2007-09-17,0.592,0.663,0.51,0.659,,0.6933192936720468,0.6894409017250777,0.6879529252588024,,
2007-09-18,0.812,0.824,0.617,0.687,,0.6927174561794709,0.6893451800888001,0.6879340554516974,,
2007-09-19,0.494,0.596,0.426,0.578,,0.6817919841623784,0.6849787024382589,0.6857571434625549,,
2007-09-20,0.531,0.568,0.481,0.56,,0.6701927475754852,0.6800775768524447,0.6832669029979499,,
2007-09-21,0.459,0.554,0.447,0.529,,0.6567458192349628,0.6741529659954861,0.6802121128395746,,
2007-09-24,0.499,0.62,0.469,0.615,,0.6527700269268711,0.6718332418388004,0.6789207838724544,,
2007-09-25,0.698,0.773,0.602,0.745,,0.6615538338862167,0.674702526472573,0.6802292832017127,,
2007-09-26,0.478,0.646,0.455,0.601,,0.6557868020875294,0.6718122313167858,0.6786603865046491,,
2007-09-27,0.459,0.596,0.459,0.584,,0.6489499637934789,0.668368614402402,0.6767859234055471,,
2007-09-28,0.523,0.902,0.523,0.771,,0.6605737767655285,0.6723933746219157,0.6786515486846452,,
2007-10-01,0.46,0.589,0.46,0.569,,0.651852464692621,0.6683387324798798,0.6764802308889096,,
2007-10-02,0.472,0.65,0.472,0.65,,0.6516760394838,0.6676195665002768,0.6759558698812085,,
2007-10-03,0.585,0.59,0.476,0.585,,0.6453259404853429,0.6643795835002659,0.6741547635469272,,
2007-10-04,0.539,0.668,0.457,0.496,,0.6311044223438816,0.6577764625786868,0.6706269464469881,,
2007-10-05,0.546,0.635,0.529,0.562,,0.6245230487873215,0.6540205228697187,0.6684759178044735,,
2007-10-08,0.463,0.546,0.463,0.504,,0.6130446631885289,0.6481373651101219,0.6652189689370581,,
2007-10-09,0.46,0.596,0.394,0.594,,0.6112308857420024,0.6460143311842348,0.6638086923244431,,
2007-10-10,0.514,0.561,0.386,0.56,,0.6063517537665736,0.6426412201574021,0.6617530746546522,,
