signal,horizont_tage,n_events,mean_return,mean_mdd,sharpe,mean_return_basis,t_pvalue,u_pvalue,signifikant_5pct,Börse,Ratio_Art,Niveau,Index,Mehrrendite,belastbar
stocks_ratio_80pct_fallend,30,255,0.018969710536770653,-0.09432641894413059,0.5277083779543109,0.01139934006387728,0.25366200958349877,0.01107217978078049,False,NASDAQ,stocks_ratio,80,Russell 2000,0.007570370472893374,True
stocks_ratio_80pct_fallend,60,255,0.044409771896290196,-0.1226914740865329,0.7007865075043056,0.022813289139560263,0.00956664414569639,0.0006615675577835816,True,NASDAQ,stocks_ratio,80,Russell 2000,0.021596482756729932,True
stocks_ratio_80pct_fallend,90,255,0.05696158841037048,-0.14302928046616228,0.611370842308114,0.034351194551070496,0.023709138294672718,0.0013605804678275108,True,NASDAQ,stocks_ratio,80,Russell 2000,0.022610393859299985,True
stocks_ratio_90pct_fallend,30,13,0.06908785605032378,-0.08539833174315864,2.7697942677224554,0.01197949632199546,0.014693078596499307,0.005332788874849375,True,NASDAQ,stocks_ratio,90,S&P 500,0.05710835972832831,False
stocks_ratio_90pct_fallend,60,13,0.11838426787159811,-0.10858970599062669,2.388971794101067,0.024081544333417183,0.005806269754062031,0.0002591551600476848,True,NASDAQ,stocks_ratio,90,S&P 500,0.09430272353818094,False
stocks_ratio_90pct_fallend,90,13,0.13320076230135042,-0.12784418708359674,1.9689089159027329,0.03654052573550044,0.009576094823429481,0.0034566732236527885,True,NASDAQ,stocks_ratio,90,S&P 500,0.09666023656584997,False
stocks_ratio_90pct_fallend,30,13,0.05945101209595402,-0.08643486402631738,2.5159502703820054,0.010153208940029,0.023464785391709965,0.007506326759484832,True,NASDAQ,stocks_ratio,90,Dow Jones,0.049297803155925024,False
stocks_ratio_90pct_fallend,60,13,0.11146398445931517,-0.1071697495732155,2.1810181928263286,0.02012072512784474,0.008469175122520529,0.00023350486891526783,True,NASDAQ,stocks_ratio,90,Dow Jones,0.09134325933147043,False
stocks_ratio_90pct_fallend,90,13,0.12293138287487282,-0.12363106230790993,2.1048766239370185,0.030314762669667872,0.005111888766708153,0.0008381355445313552,True,NASDAQ,stocks_ratio,90,Dow Jones,0.09261662020520495,False
stocks_ratio_90pct_fallend,30,13,0.09692461199084554,-0.07762516713461251,3.724331740005578,0.01909582167901598,0.002925655395056923,0.0003032981820361227,True,NASDAQ,stocks_ratio,90,NASDAQ 100,0.07782879031182956,False
stocks_ratio_90pct_fallend,60,13,0.16245339302560977,-0.09886484128377893,2.787748298976008,0.03898690196589121,0.0028874754375970368,6.420030126994899e-05,True,NASDAQ,stocks_ratio,90,NASDAQ 100,0.12346649105971855,False
stocks_ratio_90pct_fallend,90,13,0.20191242688230068,-0.11882789219935014,2.0999937577527374,0.05916250684530102,0.007652950076192024,0.0008184177186809197,True,NASDAQ,stocks_ratio,90,NASDAQ 100,0.14274992003699966,False
stocks_ratio_90pct_fallend,30,13,0.0628200644573135,-0.10843360538853099,1.659199482705381,0.01139934006387728,0.11705546771971102,0.13399610672394577,False,NASDAQ,stocks_ratio,90,Russell 2000,0.05142072439343622,False
stocks_ratio_90pct_fallend,60,13,0.12690779538708455,-0.1402039268501016,1.9718711858741895,0.022813289139560263,0.014767806794532299,0.003457354523927772,True,NASDAQ,stocks_ratio,90,Russell 2000,0.10409450624752428,False
stocks_ratio_90pct_fallend,90,13,0.14895132663077837,-0.16093477714498766,1.775135302763141,0.034351194551070496,0.012331397815039337,0.008045159442385966,True,NASDAQ,stocks_ratio,90,Russell 2000,0.11460013207970787,False
volume_ratio_70pct_fallend,30,731,0.013414584080170502,-0.06643816468559745,0.5511956309625381,0.01197949632199546,0.600320456017342,0.1263184378229018,False,NASDAQ,volume_ratio,70,S&P 500,0.0014350877581750417,True
volume_ratio_70pct_fallend,60,731,0.026121454945496954,-0.09082078207188095,0.5876395128624935,0.024081544333417183,0.5664358562554757,0.260887619482166,False,NASDAQ,volume_ratio,70,S&P 500,0.0020399106120797712,True
volume_ratio_70pct_fallend,90,731,0.03616032857993558,-0.10926624614239742,0.5262317329545475,0.03654052573550044,0.9323172608767494,0.329674791866967,False,NASDAQ,volume_ratio,70,S&P 500,-0.00038019715556486533,True
volume_ratio_70pct_fallend,30,731,0.012240203395096138,-0.06214136220992117,0.5437673783952254,0.010153208940029,0.41114354620823984,0.07695357133486061,False,NASDAQ,volume_ratio,70,Dow Jones,0.0020869944550671385,True
volume_ratio_70pct_fallend,60,731,0.02237005974089133,-0.08543108831678115,0.5580616004454565,0.02012072512784474,0.4848206216423878,0.37291234422683783,False,NASDAQ,volume_ratio,70,Dow Jones,0.002249334613046588,True
volume_ratio_70pct_fallend,90,731,0.02946254106405758,-0.10303566509192763,0.48805334681166807,0.030314762669667872,0.8291406040181399,0.6150204561579509,False,NASDAQ,volume_ratio,70,Dow Jones,-0.0008522216056102913,True
volume_ratio_70pct_fallend,30,731,0.02151768170572634,-0.07460364973913544,0.7678866342057058,0.01909582167901598,0.4441999373713652,0.11557720431448636,False,NASDAQ,volume_ratio,70,NASDAQ 100,0.0024218600267103575,True
volume_ratio_70pct_fallend,60,731,0.044254812659124676,-0.1011697930102794,0.8141275313358144,0.03898690196589121,0.22610429427178672,0.03136648518049293,False,NASDAQ,volume_ratio,70,NASDAQ 100,0.005267910693233464,True
volume_ratio_70pct_fallend,90,731,0.06518981786586968,-0.12082958646621167,0.7749788526354008,0.05916250684530102,0.2712709867029369,0.013864993144479419,False,NASDAQ,volume_ratio,70,NASDAQ 100,0.006027311020568658,True
volume_ratio_70pct_fallend,30,731,0.015224377042630315,-0.0854307061533278,0.4743845065183743,0.01139934006387728,0.290499200213467,0.04884612668512056,False,NASDAQ,volume_ratio,70,Russell 2000,0.0038250369787530356,True
volume_ratio_70pct_fallend,60,731,0.02929780411193142,-0.11780411302064506,0.5131461075170594,0.022813289139560263,0.15837849557612657,0.051814448236149065,False,NASDAQ,volume_ratio,70,Russell 2000,0.006484514972371156,True
