signal,horizont_tage,n_events,mean_return,mean_mdd,sharpe,mean_return_basis,t_pvalue,u_pvalue,signifikant_5pct,Index
P3_PCR_Q4,90,1222,0.10100171197918507,-0.08433029933164596,1.797180261814069,0.0592477100694034,1.0475309349202175e-38,2.228725901071543e-28,True,NASDAQ 100
P3_PCR_Q4,30,1222,0.025634539398537905,-0.06846047624907564,0.9765519133042206,0.010993108582537036,1.946659318967754e-09,9.175258851014229e-13,True,Russell 2000
P3_PCR_Q4,60,1222,0.05064661577748232,-0.09285503488584723,1.1938082205850833,0.021730947087333752,5.426066549057418e-23,4.240748665183606e-26,True,Russell 2000
P3_PCR_Q4,90,1222,0.07054851595667216,-0.10613761778766675,1.1905975692687916,0.031998262689338,1.4908725158598157e-29,8.674236577990623e-29,True,Russell 2000
P8_Bestaetigtes_Hoch,30,265,0.02662113119124963,-0.049931949366503095,1.3128433228538248,0.011872948475968544,8.444919238445105e-05,1.7478532053781822e-06,True,S&P 500
P8_Bestaetigtes_Hoch,60,265,0.04076414827263795,-0.07132555686699775,1.1452610058392405,0.02374344520785139,0.0002672658916808373,0.0006828296840196117,True,S&P 500
P8_Bestaetigtes_Hoch,90,265,0.06075227012915238,-0.08440606619699303,1.2271342275502528,0.03529331256112084,2.1039292967478562e-06,4.754891789229718e-05,True,S&P 500
P8_Bestaetigtes_Hoch,30,265,0.023924775121671734,-0.04631323331234182,1.254883304101006,0.01032190307332623,0.00011477063625071184,5.214462661188913e-06,True,Dow Jones
P8_Bestaetigtes_Hoch,60,265,0.035291165189393556,-0.06737724183716824,1.0233539409066985,0.020419989060796,0.0009660644648562407,0.003071563756402142,True,Dow Jones
P8_Bestaetigtes_Hoch,90,265,0.053116875555777765,-0.08038179630648352,1.149960710208006,0.029957510711876342,3.59550391863375e-06,5.6621337464590694e-05,True,Dow Jones
P8_Bestaetigtes_Hoch,30,265,0.03551856321522,-0.05792555378477105,1.5443064009021046,0.019543165365942878,0.00017702920016285674,0.00015665029019919246,True,NASDAQ 100
P8_Bestaetigtes_Hoch,60,265,0.06146136983278546,-0.07973802996126711,1.5153579295860995,0.03961843332982159,4.546296532465714e-05,0.0006648568699012951,True,NASDAQ 100
P8_Bestaetigtes_Hoch,90,265,0.09256662853966814,-0.09278452669696244,1.6187914077862557,0.0592477100694034,9.777103011642055e-08,2.4510246113013298e-06,True,NASDAQ 100
P8_Bestaetigtes_Hoch,30,265,0.031004035035052297,-0.06659478141501064,1.1088335860582401,0.010993108582537036,0.0001066606853012441,1.3279038067542406e-06,True,Russell 2000
P8_Bestaetigtes_Hoch,60,265,0.0474246287215639,-0.09746602083168758,0.9842762877793407,0.021730947087333752,5.028598382714894e-05,5.353218508299813e-06,True,Russell 2000
P8_Bestaetigtes_Hoch,90,265,0.06607672843809384,-0.11566531072552487,1.0255679487849865,0.031998262689338,1.1589748311258144e-06,1.7752167984196043e-07,True,Russell 2000
PCR_Thrust_Equity,30,489,0.02144017680911274,-0.056108718131798255,0.8996894710647849,0.011872948475968544,0.0031399293399174636,1.323033691558501e-08,True,S&P 500
PCR_Thrust_Equity,60,489,0.03771323297948595,-0.07978877852679939,1.0555183541020166,0.02374344520785139,6.983727936265644e-05,1.137834413326984e-05,True,S&P 500
PCR_Thrust_Equity,90,489,0.05113069311277408,-0.09659643236491412,0.9941300406658232,0.03529331256112084,0.00013241790951036924,0.00026992452116811897,True,S&P 500
PCR_Thrust_Equity,30,489,0.01808086200007657,-0.05433878175221359,0.8062265508520382,0.01032190307332623,0.010873977304426413,3.3810063115348073e-07,True,Dow Jones
PCR_Thrust_Equity,60,489,0.0328554307174183,-0.07640313274686891,0.9740936668090591,0.020419989060796,0.00017217862834574077,5.314896595643257e-05,True,Dow Jones
PCR_Thrust_Equity,90,489,0.04490147557549402,-0.0926099866266307,0.9697429778521921,0.029957510711876342,6.44002915201655e-05,0.00014331396741785275,True,Dow Jones
PCR_Thrust_Equity,30,489,0.032452121873762604,-0.06359432885900843,1.223433616146719,0.019543165365942878,0.0003742938542844565,4.26192885497859e-07,True,NASDAQ 100
PCR_Thrust_Equity,60,489,0.06132276341121227,-0.08795791743227724,1.4075815403343137,0.03961843332982159,4.493839566522141e-07,7.250365184949728e-10,True,NASDAQ 100
PCR_Thrust_Equity,90,489,0.08658903204566219,-0.10572355419048401,1.351202873155994,0.0592477100694034,1.2948644175852487e-07,8.362841415834834e-09,True,NASDAQ 100
PCR_Thrust_Equity,30,489,0.02422606851443101,-0.07337265499269109,0.73558214469584,0.010993108582537036,0.0030601721229273136,1.559157462907867e-08,True,Russell 2000
PCR_Thrust_Equity,60,489,0.04214443594293789,-0.10543998002348597,0.8282097361806051,0.021730947087333752,4.164285363985148e-05,1.0924165755925393e-05,True,Russell 2000
PCR_Thrust_Equity,90,489,0.05740955177114123,-0.12775220453443661,0.7704201840945107,0.031998262689338,2.0893361162868622e-05,3.79410551357783e-06,True,Russell 2000
